postcode,distance
1000AA,1672.322016
1000AB,1672.322016
1000AC,1672.322016
1000AD,1672.322016
1000AE,1672.322016
1000AG,1672.322016
1000AH,1672.322016
1000AJ,1672.322016
1000AK,1672.322016
1000AL,1672.322016
1000AM,1672.322016
1000AN,1672.322016
1000AP,1672.322016
1000AR,1672.322016
1000AS,1672.322016
1000AT,1672.322016
1000AV,1672.322016
1000AW,1672.322016
1000AX,1672.322016
1000AZ,1672.322016
1000BA,1672.322016
1000BB,1672.322016
1000BC,1672.322016
1000BD,1672.322016
1000BE,1672.322016
1000BG,1672.322016
1000BH,1672.322016
1000BJ,1672.322016
1000BK,1672.322016
1000BL,1672.322016
1000BM,1672.322016
1000BN,1672.322016
1000BP,1672.322016
1000BR,1672.322016
1000BS,1672.322016
1000BT,1672.322016
1000BV,1672.322016
1000BW,1672.322016
1000BX,1672.322016
1000BZ,1672.322016
1000CA,1672.322016
1000CB,1672.322016
1000CC,1672.322016
1000CD,1672.322016
1000CE,1672.322016
1000CG,1672.322016
1000CH,1672.322016
1000CJ,1672.322016
1000CK,1672.322016
1000CL,1672.322016
1000CM,1672.322016
1000CN,1672.322016
1000CP,1672.322016
1000CR,1672.322016
1000CS,1672.322016
1000CT,1672.322016
1000CV,1672.322016
1000CW,1672.322016
1000CX,1672.322016
1000CZ,1672.322016
1000DB,1672.322016
1000EA,1672.322016
1000EB,1672.322016
1000EE,1672.322016
1000EG,1672.322016
1000EV,1672.322016
1000EX,1672.322016
1000GA,1672.322016
1000GC,1672.322016
1000GD,1672.322016
1000GG,1672.322016
1000GJ,1672.322016
1000GK,1672.322016
1000GM,1672.322016
1000GP,1672.322016
1000GR,1672.322016
1000GT,1672.322016
1000HB,1672.322016
1000HC,1672.322016
1000HD,1672.322016
1000HE,1672.322016
1000NA,1672.322016
1000ND,1672.322016
1001AA,1672.322016
1001AB,1672.322016
1001AC,1672.322016
1001AD,1672.322016
1001AE,1672.322016
1001AG,1672.322016
1001AH,1672.322016
1001AJ,1672.322016
1001AK,1672.322016
1001AL,1672.322016
1001AM,1672.322016
1001AN,1672.322016
1001AP,1672.322016
1001AR,1672.322016
1001AS,1672.322016
1001AT,1672.322016
1001CB,1672.322016
1001CR,1672.322016
1001EA,1672.322016
1001EB,1672.322016
1001EC,1672.322016
1001ED,1672.322016
1001EE,1672.322016
1001EG,1672.322016
1001EH,1672.322016
1001EJ,1672.322016
1001EK,1672.322016
1001EL,1672.322016
1001EM,1672.322016
1001EN,1672.322016
1001EP,1672.322016
1001ER,1672.322016
1001ES,1672.322016
1001ET,1672.322016
1001EV,1672.322016
1001EW,1672.322016
1001EX,1672.322016
1001EZ,1672.322016
1001GA,1672.322016
1001GB,1672.322016
1001GC,1672.322016
1001GD,1672.322016
1001GE,1672.322016
1001GG,1672.322016
1001GH,1672.322016
1001GJ,1672.322016
1001GK,1672.322016
1001GL,1672.322016
1001GM,1672.322016
1001GN,1672.322016
1001GP,1672.322016
1001GR,1672.322016
1001GS,1672.322016
1001GT,1672.322016
1001GV,1672.322016
1001GW,1672.322016
1001GX,1672.322016
1001GZ,1672.322016
1001JA,1672.322016
1001JB,1672.322016
1001JC,1672.322016
1001JD,1672.322016
1001JE,1672.322016
1001JG,1672.322016
1001JH,1672.322016
1001JJ,1672.322016
1001JK,1672.322016
1001JL,1672.322016
1001JM,1672.322016
1001JN,1672.322016
1001LA,1672.322016
1001LB,1672.322016
